,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ordnerpfad:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T:\AT_Datencenter_CGI\11_CGI\Content_Production\#STOFFE_Styleguide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"im Optimalfall einen mittelgrauen Stoff scannen 
(nicht zu dunkel, schwarz, oder weiß!!!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Styleguide von IN9/EK auszufüllen,,,,,,von KIYM auszufüllen,,Realmuster im Schrank,,,,,,,,,,,,,,,,,,,,,,,
,Schiene,Projekt,Lieferant,Stoffname,Stofffarbe,Stoff bestellt (Datum),Stoff erhalten (Datum),Stoff gescannt (Datum),Stoff abgelegt,Information,Tracking-Number,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Polstermöbel,2257_Beskidzkie,LINCOLN_03,Beige,25.11.2024,28.12.2024,01.01.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Polstermöbel,2648_Blanar,ENJOY_21,Grey,25.11.2024,28.12.2024,01.01.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Polstermöbel,2648_Blanar,ZOOM_20,Grey,25.11.2024,28.12.2024,01.01.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Polstermöbel,2312_Mars_Meble,MANILA_15,Silber,01.01.2025,10.01.2025,13.01.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,2768_Prima_Namjestaj,MERCURY_5502,grau,ja,ja,24.04.2025,Done,,https://gls-group.com/HR/en/parcel-tracking/,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,2768_Prima_Namjestaj,JOKER_2532,beige,ja,ja,24.04.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,2768_Prima_Namjestaj,PACE_9403,grau,16.05.2025,ja ,02.06.2025,Done,,https://gls-group.com/HR/en/parcel-tracking/,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,2768_Prima_Namjestaj,RUBENS_7503,grau,ja,ja,24.04.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,1634_YUDONG_FURN,VELOSSA_13,grau,ja,ja,28.04.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,0301_TIANHUI_BAZHOU_FURNITURE_LTD,LB3203-200,grau,ja,ja,28.04.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,0301_TIANHUI_BAZHOU_FURNITURE_LTD,UF998-15,grau,ja,ja,28.04.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
,Möbelix,Speisen,1336_JINQIAO_ZHANGZHOU_INDUSTRY,ODIN_15,hellgrau,ja,ja,24.04.2025,Done,,,,,,,,,,,,,,,,,,,,,,,
